,text,meta_text
173,i would like to make an offer of $1819 ,init-price
174,1819 is far too low at the moment . ,vague-price
175,this is a great house with great utilities too . ,supplemental
176,the lowest i'm willing to go is 2400 . ,counter-price
177,"i am a dentist , i will throw in two cleanings for each you and your immediate family members twice a year for two years if we can agree to $1819 ",supplemental
178,"i'm sorry , i'm not looking for a dentist at the moment . your offer just doesn't represent good value . if you're willing to come over and sign the lease today , i can drop the price down to 2250 though . ",counter-price
179,how about my offer still stands plus i'll throw in a whitening at each check up plus i will come over today and let's do 2100 ,counter-price
180,"ok , that works for me . ",agree
181,nice . ,thanks
182,<end>,<end>
183,these bunk beds look perfect for me if i come and dismantel them abd pick them up would you be willing to take 240 . 00 ? ,init-price
184,"wow , thats a low price . ",vague-price
185,i need at least 290 . ,counter-price
186,they are beautiful and perfect for kids ,supplemental
187,ok well i am a single mom and i can tell you that i simply cannot afford more than 250 ,counter-price
188,"okay , well can you pick it up then ? ",inquire
189,yes i can pick them up and dismatle as well ,inform
190,sure ! cash okay ? ,inquire
191,yes that works ,inform
192,deal ! 250 ! ,agree
193,thank you ,thanks
194,<end>,<end>
195,"wow , this looks like a great product ! ",intro
196,"they are in great condition , i just dont need them anymore . i have four of them . . i'd like to keep them in a lot and get rid of them all at once . ",supplemental
197,are you interested in all four ? ,intro
198,i would love 4 as long as they are a good price . ,inform
199,they are $70/each ,init-price
200,thats a lot ! ,vague-price
201,any deal if i buy them as a whole ? ,inquire
202,"its $280 total . . i could go $250 for them all , but youll have to pick them up . ",counter-price
203,hmmm how about 50 each so 200 ,counter-price
204,for $225 i will throw in a box of unused dividers and folders . ,counter-price
205,so how much each ? ,inquire
206,"lets make it $220 , thats $55/ea ",counter-price
207,deal ! ,agree
208,<end>,<end>
209,"hello i am really interested in buying your phone , but i had a few questions ",intro
210,sure ! i would love to hear them ! it is an apple iphone 5s ,intro
211,does the phone come with anything other than the phone itself ? ,inquire
212,the price is a little high for what i can afford but i mightbe able to make it work if it already has the accessories i need ,vague-price
213,"yea , it has a new charger , sim card , original box , and screen protector . we have you covered ! ",inform
214,"oh really that is great , more than what i expected . does it currently have a case that may come with it ? ",inquire
215,"not a case , but it does have the screen protector . ",inform
216,i can also go down to 150 so you can get a case with that money . ,init-price
217,"that would definitely help so i don't have to pay the full price , because i'll definitely need to get a case . ",unknown
218,great ! deal ! 150 ? ,agree
219,yeah i think that sounds pretty fair since it was less than you were asking and comes with all the extras that i'd have to buy otherwise . ,agree
220,great ! ,thanks
221,<end>,<end>
222,"hi , i'm interested in your custom trike you posted for sale . ",intro
223,what kind of condition is it in ? ,inquire
224,"workable . will get you to point a to b . brakes and tires are brand new , . it needs a paint job though . ",inform
225,ok i'd like to make you an offer of $1000 cash and i can come pick it up today at whatever time's most convenient for you . ,init-price
226,how about noon ? ,inquire
227,perfect . . you got a deal . . . . see you at noon . ,agree
228,deal ,agree
229,<end>,<end>
230,hello and welcome ! are you interested in buying my property ? ,intro
231,yes i definitely am . are you flexible on the price at all ? ,inquire
232,i am trying to sell it a little fast right now . ,inform
233,i am going on tour in korea and plan on relocating when i get back to the states . ,supplemental
234,ok that works good because i'm looking to move in asap . would you accept 2300 ? ,init-price
235,i can accept that for sure ,agree
236,<end>,<end>
237,hello . ,intro
238,hello ,intro
239,are you interested in checking out the touareg ? ,intro
240,"yes , how many miles are on it ",inquire
241,70k ,inform
242,when was the last time it was checked out by the dealer ,inquire
243,i last had it serviced at vw dealership in may ,inform
244,<end>,<end>
245,what is the lowest you can sell the phone for ? ,inquire
246,can you do $10 ? ,init-price
247,how about $6 ? ,counter-price
248,that's too low . ,vague-price
249,$8 ,counter-price
250,9 ? ,counter-price
251,$8 take it or leave it ,insist
252,<end>,<end>
253,hello . you were interested in my dining set ? ,intro
254,"yes , but i have some questions . is it made of real wood ? ",inquire
255,"it is , and it's a little heavy when you're transporting due to that . ",inform
256,i think i can deal with transportation . how about $100 for it ? ,init-price
257,100 is way too low for this quality . i can go as low as 175 . ,counter-price
258,i understand you want to get the best price for yourself . how about $150 ? ,counter-price
259,<end>,<end>
260,hey how are you today ? i have some interest in the table set . ,intro
261,hi ! i am doing well . it is a beautiful set . ,intro
262,is it in really good shape ? no marks or anything ? ,inquire
263,it is in really great shape . the legs on the table can be dismantled so it will be safer and easier to travel with . ,inform
264,"well if i give you 175 cash , don't worry about dismantling the legs or anything , and i can come pick it up today ? ",init-price
265,perfect . sold ! ,agree
266,sounds good ! ,thanks
267,<end>,<end>
268,hello ! ,intro
269,hello . i really love your table and chairs . ,intro
270,"i would like to bring it home today but i only have $135 i can spend on it . however , i can come pick it up and pay for it today if that price would work for you . ",init-price
271,hm . . would it be possible for you to go up to 150 ? ,counter-price
272,"yeah , actually . i just remembered i have $15 left from a birthday card ! ",agree
273,"can i come pick it up today , for $150 ? ",inquire
274,that sounds perfect . i'll arrange the final agreement then ! ,agree
275,<end>,<end>
276,i am interested ,intro
277,"great , what questions do you have ? ",intro
278,how many miles are on it ? ,inquire
279,"32 , 000 miles , it usually just sits around most of the time . i would consider it my sunday funday car ",inform
280,i can offer you 15000 ? ,init-price
281,"i wish i could take that offer , my neighbor offered me 17000 , i would be willing to sell it to you for that price as well . it's in prestigious condition , a steal for that price ",counter-price
282,17000 would work ,agree
283,<end>,<end>
284,"hello , i think i could use your midcentury modern piece if i refinish it . what are you asking ? ",intro
285,"this would be a beautiful addition to any room ! i'm asking $550 , but i'd take $500 if you could pick it up today or tomorrow ! ",init-price
286,that's a little too steep for me . ,vague-price
287,"in antique guides , this is coming in , in perfect condition , at $200-350 . would you take $300 if i pick it up tonight ? cash deal . ",counter-price
288,a store-bought piece of this style would range you $750-$1000 . $350 and we have a deal ! $400 and i'll deliver . ,counter-price
289,$350 sounds right ,agree
290,<end>,<end>
291,"hi , are you interested in this product ? ",intro
292,"hello , i want the batteries ! i would love them ! ",intro
293,cool . they are in excellent working order and are ready to be used . ,supplemental
294,great1 are they new ? ,inquire
295,"not brand new . but , they are in great working order . ",inform
296,how much would you like to pay for them ? ,inquire
297,i would like to pay 7 . ,init-price
298,7 dollars is a bit low . how about ten dollars ? ,counter-price
299,9 and we have a deal ! ,counter-price
300,sounds good . let's do 9 . ,agree
301,<end>,<end>
302,hello are you interested in the apartment ? ,intro
303,"i am , but i'm unable to afford what you're asking . are you flexible on the price ? ",inquire
304,"somewhat , we offer a lot of great amenaties that really help you to get your money's worth ",inform
305,"well i certainly appreciate that , but with my income , i'm unable to afford your asking price , regardless of amenities . ",disagree
306,what price range are you looking at here ? ,inquire
307,"ideally , i'd like to pay $1500 per month . ",init-price
308,<end>,<end>
309,"hello , i am interested in your truck and would like to discuss some things with you ",intro
310,great ! feel free to ask any questions . ,intro
311,"the truck looks great , about the price how much wiggle room is there ? ",inquire
312,"not a ton , mainly because it only has 10k miles . ",inform
313,what's your price point ? ,inquire
314,i was hoping to get in somewhere around $24k but that's dependent on if you would be willing to deliver the truck to me ,init-price
315,i can definitely deliver it . ,inform
316,i'd be willing to purchase you an extended warranty for 100k miles if you could come up a little more . ,vague-price
317,"if you will deliver and purchase the warranty i will go up to $25 , 000 ",counter-price
318,that sounds like a deal . ,agree
319,thanks ! ,thanks
320,<end>,<end>
321,i will give you 50 for them ,init-price
322,hello ! ,intro
323,hey there ,intro
324,"i'm here ! , hold on . . . ",intro
325,okay ,inform
326,"thanks , there is no rust , and the cushions are recovered , no stains . ",supplemental
327,how about 75 ? ,counter-price
328,perfect ! ,agree
329,you going to pick them up ? ,inquire
330,<end>,<end>
331,"hello , i am interested in the alarm clock radio to use to help get my kids up for school ",intro
332,hi . sure . it's in good condition . works flawlessly . ,intro
333,"awesome , that is good to hear . . . i know it is listed as $12 but i would like to offer $8 with me coming to pick it up from you instead to cut down on shipping costs ",init-price
334,"i don't remember how much i paid for this , but i think it was around $70 . $8 is just a little too low . i would take $10 for it . is that acceptable ? ",counter-price
335,"yes , $10 would be perfectly fine ! ",agree
336,<end>,<end>
337,since this item has no pillows or bed sheets i would like to pay $145 ,init-price
338,the bunk beds are n great condition and come with the mattresses ,supplemental
339,would you accept $145 ,insist
340,that is to low of an offer ,vague-price
341,do you deliver ? ,inquire
342,i can not deliver you would need to pick up the bed ,inform
343,would you accept $250 ,counter-price
344,i would take $250 in cash ,agree
345,sending the offer now ,agree
346,<end>,<end>
347,hello there . i am interested in this product . ,intro
348,can you give me few details about it please ? ,inquire
349,"as pictured , it has slight damage , and the top drawer sticks occasionally , but all in all it's very functional . ",inform
350,i'm asking for 75$ for it . ,init-price
351,the price is very high for me and not affordable ,vague-price
352,"well , make me an offer then . ",intro
353,how about $37 ? ,counter-price
354,that's a little bit too low . i could go down to 55$ ? ,counter-price
355,how about $50 ? i can come get it from you also if you don't deliver it ? ,counter-price
356,<end>,<end>
357,"hi , are you interested in buying the bunk bed's ? ",intro
358,i am interested in your bunk bed . ,intro
359,please tell me a bit about its condition . ,inquire
360,they are in excellent condition as they haven't been used a lot . the mattress's are like new . ,inform
361,was it new when you bought it ? ,inquire
362,"yes , the bed's and mattress was brought brand new . they were for my grandkids to use while visiting . ",inform
363,what is the brand ? ,inquire
364,the mattress's are sealy posturepedic . i think the beds brand name is ashley furniture . ,inform
365,what year was it purchased ? ,inquire
366,it was purchased in 2012 . ,inform
367,why are you getting rid of it now ? ,inquire
368,we are downsizing and selling what furniture we don't need . ,inform
369,what was the original purchase price ? ,inquire
370,the original price was $1200 . i think my price of $290 . is fair considering it still looks like new . ,init-price
371,i will buy it cash for 200 and pick it up tonight . ,counter-price
372,i will split it with you for $240 and i will throw in the new sgeets also ,counter-price
373,are the sheets in their original packaging ,inquire
374,yes they are . ,inform
375,$230 and you have a deal ,counter-price
376,i will accept your offer of $230 . ,agree
377,thanks ! i'll see you soon ! ,thanks
378,<end>,<end>
379,hi there ,intro
380,hello ! are you interested in the house ? ,intro
381,yes i am . can you give me some details about the location ? ,inquire
382,"it is very close to val vista park (within walking distance) , and will give you easy access to 680 and 580 . ",inform
383,that's great . and is it 4 bedroom house ? ,inquire
384,"yes , 4 bedroom , 2 bath . ",inform
385,great . i am really interested but the price is holding me back ,intro
386,<end>,<end>
387,hi i'd like to buy this for $50 ,init-price
388,hi i would like to tell you more about the item first ,intro
389,"ok , please do ",inform
390,"it is a mirrored nightstand , which is really fashionable . the night stand is a little bit damaged as the top drawer has a little bit of resistance while using it . however otherwise it is in perfect codnition . it is a fashionable item to have in any bedroom ",supplemental
391,hm ok . . so would you still take $50 for it ? since it's slightly damaged ? ,insist
392,i would like to receive at least 60 for it . my listing price was 75 ! and this is a really nice nightstand . it goes for around 200 originally ! ,counter-price
393,i will give you $60 for it ,agree
394,great ! that sounds good ,thanks
395,thanks ! ,thanks
396,<end>,<end>
397,i am interested in the truck you have for sale ,intro
398,"outstanding ! it's in almost new condition , and even maintains its 75 , 000 mile warrenty . which also has 65 , 000 left on it ! ",supplemental
399,"that sounds like a great offer , what are you asking for it ? ",inquire
400,"i'm looking for $27 , 500 ",init-price
401,"while it is a nice truck , it does have a considerable dent on the passenger side . i would be willing to pay $24 , 000 . ",counter-price
402,"that's a good start , but i'm looking a little higher . ",vague-price
403,"this car is close to new-condition and has had only one owner and only used for moving . it has some nice features , including bluetooth , and outstanding safety features . ",supplemental
404,"how about $26 , 000 ",counter-price
405,"it is exactly what i am looking for and it does have many of the features i am interested in , if you would be willing to deliver the truck i could increase my offer to $25 , 250 ",counter-price
406,i'd be willing to accept that ,agree
407,<end>,<end>
408,hi ,intro
409,hi ! i am interested in your car ,intro
410,i would like 4500 ,init-price
411,i see that . it is a 10 year old car . would you take 3000 ? ,counter-price
412,how about 4000 ? ,counter-price
413,meet in the middle ? 3500 ,counter-price
414,deal ,agree
415,<end>,<end>
416,hello are you interested in the truck ? ,intro
417,"yes i am , but i'll be honest right off the bat , i can't pay listing price . 20 thousand is my offer . ",init-price
418,"well right to the point . i can't go that low but to sweeten the deal i would be able to deliver the truck to you and purchase an additional warranty for up to 100 , 000 miles . for all this i would ask 25500 ",counter-price
419,<end>,<end>
420,these batteries look great ! ,intro
421,they are in great condition . ,supplemental
422,awesome ! both used ? ,inquire
423,"yes , i used them for about 6 months before my husband bought me an iphone for my birthday . ",inform
424,not bad ! how much ? ,inquire
425,$5 each ! ,init-price
426,how about 8 total ? package deal ,counter-price
427,"if you can pick them up tonight , i will give them to you for $8 ",agree
428,i sure can ! ,agree
429,what brand by the way ? ,inquire
430,nokia ,inform
431,<end>,<end>
432,"hello , are there any cosmetic issues or damage to the chairs ? ",inquire
433,"absolutely not . we just changed the color and the padding on the chairs . it's a beautiful little set , great on a sunporch or outside . ",inform
434,any chance you would be willing to meet halfway for pickup ? ,inquire
435,if you pick the set up i can sell it for $75 ,init-price
436,"hmm , how about 50 and i'll throw in a free dinner for two at a restaurant i own ? ",counter-price
437,what's the name of your restaurant ? ,inquire
438,outback steakhouse ,inform
439,"wow . that's sounds like a good deal . yes , i'll accept your offer . ",agree
440,perfect ! ,thanks
441,<end>,<end>
442,hi . i'm interested in the alarm clock radio . ,intro
443,hello . i have listed this item for $12 . ,init-price
444,you said you'd be willing to lower the price in the listing-- would you take 4 dollars ? ,counter-price
445,i can't go quite that low - sorry . how about $9 ? ,counter-price
446,a little too high for me-- how about $6 ? ,counter-price
447,$7 ? a little more than half what i asked ? ,counter-price
448,"ok , $7 sounds reasonable . ",agree
449,great - i'm glad we were able to work something out ! :) ,thanks
450,<end>,<end>
451,hello ,intro
452,"hi , i am interested in the bunk bed for my children . ",intro
453,how old is it ? ,inquire
454,"it is only 5 years old . our children have grown a bit and are living in different rooms now . but it is in great condition , we even refinished it and repainted it ! ",inform
455,"oh wow , if i pick it up today , would you be willing to take $261 ? ",init-price
456,i could do 280 if you can come pick it up today ! ,counter-price
457,$270 and you've got a deal ! ,counter-price
458,let's do it ! i'll even help you load it up . ,agree
459,<end>,<end>
460,hi-so you are interested in my sweet prius ? ,intro
461,"yeah , $3000 ",init-price
462,way too low ! ,vague-price
463,3500 ? ,counter-price
464,the kelley blue book value is 4700 . i am looking to sell on my own because it benefits me and the buyer ,counter-price
465,the most i can pay is $4200 ,counter-price
466,"if you can take it off my hands tonight , i'll give it to you for 4300 ",counter-price
467,"i can do that , $4300 it is . ",agree
468,<end>,<end>
469,hello ! ,intro
470,hello ,intro
471,would you be interest in renting the house i have listed ? ,intro
472,yes i like that its 4 bedroom with 2 bath ,inform
473,yeah and there is a very nice 2 car garage and awesome school district ! ,supplemental
474,the price and area is good enough that i would be willing to go for $2700 due to the perks . ,init-price
475,the price is listed at $3700 . ,counter-price
476,"understood , the value is wonderful and i think i would make a deal at $3500 for a better deal if possible . ",counter-price
477,i can definitely come down to $3500 . ,agree
478,<end>,<end>
479,hello ,intro
480,i noticed your ad for the batteries .,intro
481," i need one for my phone , since the battery on my phone is starting to go . i really only needed one battery , but you are the only listing i've seen so far . ",supplemental
482,could you consider $6 ? ,init-price
483,they're basically a set since i have no use for them . they both work great . i can negotiate but $6 is a bit low . . . i could go $7 and throw in the charger because i don't need that anymore either . ,counter-price
484,"okay , that will work for me . ",agree
485,"okay great , could you pick them up today ? ",inquire
486,sure ,inform
487,ok sounds like a deal . ,thanks
488,<end>,<end>
489,good day . i saw your ad for a home to rent . ,intro
490,"hello , i am asking 3700 per month on a one year lease ",init-price
491,"it's definitely an attractive place , but it's one of several i'm looking at . i've seen similar ads priced as low at $1500 . ",counter-price
492,"that may be , but this house has 4 bedrooms , 2 bathrooms and a 2 car garage . it also comes with a washer/dryer/dishwasher/stove and oven , and has a large patio and backyard . the yard is also mowed and maintained by my associate , so you never have to worry about doing yard work ",supplemental
493,"ooh , i like the sound of that . yard work is a pain . how about $2000 , and i'll sign a 2 year lease . anything more than that is really out of my price range . ",counter-price
494,"that is a little low , i have many people that are interested in the rental . ",vague-price
495,"but if you are willing to sign a 2 year lease , i can do $3200 per month ",counter-price
496,"i'm neat , don't throw wild parties , non-smoker , and no pets . ",supplemental
497,"i might be able to swing 2300 , but that's as high as i can go . ",counter-price
498,"you sound like you would make a great tenant . i can meet you in the middle at $2800 , but i honestly can't go any higher ",counter-price
499,"can you do $2600 ? as it is , i'm going to be eating ramen for a while . ",counter-price
500,"i can $2600 on a 2 year lease , as long as you agree not to have any pets and keep the rental in excellent condition . ",agree
501,deal ! make it a 3 three lease-- i plan on staying in the area for a while . ,agree
502,sounds good ! ,thanks
503,<end>,<end>
504,hi ,intro
505,hello ,intro
506,"i'd like 20 , 000 for this car , willing for trades too ",init-price
507,highest i can go is $15000 ,counter-price
508,"got any other vehicles you could put with that ? maybe an atv , skidoo , snowmobile ? ",inquire
509,<end>,<end>
510,i am interested in your car . ,intro
511,what is the best offer you have received ? ,inquire
512,"i had an offer of 17000 , that's a bit too low for me , as i need to pay my debt off . ",init-price
513,thats too high for me . ,vague-price
514,i can offer 14000 today cash ,counter-price
515,"i can't go that low , how about 16000 ? ",counter-price
516,i can do 15000 and throw in a free fridge that is like new that i was going to sell ,counter-price
517,sounds good ! ,agree
518,<end>,<end>
519,i am selling this for $15 ,init-price
520,huh what do you have ? ,inquire
521,i have something which is for $75 ,counter-price
522,i have a mirrored nightstand with some slight damage . ,inform
523,it tells me you are selling it for $75 ? ,inquire
524,"well i bungled this . i wanted $75 , but i thought better of it with the damage . you must pick up , though ",inform
525,how much you said again ? ,inquire
526,"$15 is my bottom-barrel . i won't go lower , and you must pick up and take yourself ",counter-price
527,okay deal ,agree
528,<end>,<end>
529,hi ! this looks like a great apartment ! ,intro
530,hi ! i see you are interested in our luxury apartment ! it has a lot of great features that will make even the relaxed tenants want to celebrate ! ,intro
531,"well i would love to become a tenant . i see you have 200 dollars off right now , but i don't need the granite counter tops . if i volunteered to lived on one of the floors with formica , how does 2835 a month sound ? ",init-price
532,"thats not a bad idea ! but with all of our outstanding features , i would love to see you living in this apartment for $2900 a month . we have massive soaking tubs , water saving showerheads , and highspeed internet that will keep those precious kidos happy all day ! ",counter-price
533,i can do that ! ,agree
534,outstanding ! $2900 it is ! ,agree
535,<end>,<end>
536,good afternoon . are you interested in the prius i have for sale ? ,intro
537,"yeah , i'm looking to find a good 2nd car for my house , one that gets good gas mileage . ",inform
538,"this gets over 40 miles to a gallon , so it is very cost effective . ",supplemental
539,i like that-- you never know what the gas prices will do . when is the last time it had a tune up ? ,inquire
540,"i got it tuned up a few months ago , at the same time i had the front fender repaired . ",inform
541,"oh , was there an accident ? ",inquire
