,text,meta_text
61,"yes , i do have all the accessories , manual , and box from when i purchased it . i am hoping to sell this weekend . are you interested ? ",inform
62,i am interested . it is 2 years old though . would you be willing to come down in the price ?,inquire
63,"the phone is like new , so i could come down a bit but not much . i have several other interested parties . ",inform
64,"yes , i understand . i have been looking at other listings as well . i could do $140 and i would pick it up today with cash in hand .",init-price
65,i can't go lower than $170 . did i mention it does have an extended warranty that would give you warranty coverage for another full year .,counter-price
66,could you do $165 ?,counter-price
67,"if you pick it up with cash today , i could do $165 .",agree
68,you got a deal ! ,unknown
69,<end>,<end>
70,hello i am offering my headphones for the very low price of $175 .,init-price
71,"actually , for used headphones that's pretty high . i was thinking more like 100 . ",counter-price
72,it really is not that high because they cancel out noise . and i paid $400 for it when i bought it . i can negotiate a deal with you . give me $135 for them,counter-price
73,<end>,<end>
74,the benz still for sale ? ,inquire
75,hi how are you ? ,intro
76,yes it is i took awesome care of it and it's in wonderful condition . i'm asking 20800 for it .,init-price
77,i am good thank you . i came across your ad today regarding the benz . looks very clean and has nice low milage . ,supplemental
78,yes indeed low milage clean perfect interior and the paint job is flawless . ,supplemental
79,"i love this car , you have no idea but at the moment i'm tuck on a budget of $10 , 400 . will you be willing to accept an offer like this ?",init-price
80,no im sorry that half my asking price i would be willing to meet in the middle at 15000,counter-price
81,"i can do $15 , 00 but i wont have for another 2 weeks . would you be willing to take my 10 , 400 as a deposit ?",agree
82,<end>,<end>
83,i was looking at your bed . it says you kept a mattress protector on it the whole time ? ,inquire
84,yes it was in the guest room so this mattress is like brand new . only slept on once by some guest . i paid over 2000 . 00 for it .,supplemental
85,wow would you say it is firm or not ? ,inquire
86,it is firm but not like a brick . it is actually very comfortable as i have one in my wife and my room too . ,inform
87,i know your bed is a great deal at 900 but i do not have that much now . would you consider 500 . 00 ?,init-price
88,if you can pick it up i can do $500 .,agree
89,i can tomorror evening at 6 . thank you,thanks
90,<end>,<end>
91,hell there ,intro
92,hello are you interested in the dressers ? they are both beautiful pieces with a little bit of wear but will last for years . i am asking 700 for both .,init-price
93,"seems like it is quite expensive , is there any chance to limit the price to 630 ?",counter-price
94,they are true quality and honestly the scratches on them you could probably get out pretty easily with just a little work . ,supplemental
95,pieces like these new go for probably about $500 each . ,counter-price
96,<end>,<end>
97,"hi , i am interested in your thermostat . ",intro
98,is it new or has it been used ? ,inquire
99,i used it for a couple months it is in like new condition . it works perfectly . ,inform
100,is it easy to use ? ,inquire
101,"yes , it is easy to use . i don't have the box or the manual , but the manual is available online . ",inform
102,i have priced these and i think $39 for a used one is a little high . i would like to buy it but i think $20 seems more fair .,init-price
103,i can't go that low . i paid more and like i said it has barely been used . ,disagree
104,i could come down to $32 ,counter-price
105,i have $27 cash on me right now and i can come get it now . would that work for you ?,counter-price
106,i could accept that if you would come get it now with cash . ,agree
107,<end>,<end>
108,hi it looks like a decent alarm system ,intro
109,thanks ,thanks
110,"let's get to price , there is not much to discuss about the specifications , it's pretty much a standard piece ",supplemental
111,"okay , what do you offer ? it's already only 5 dollars .",init-price
112,can we do 3 ? i mean a new one costs only 7,counter-price
113,if you can swing by in the next half hour i'll give it to you for 4 dollars .,counter-price
114,"ok , can you please pack it up for me ? and can you text me your address please ? ",inquire
115,alright . it's a deal . ,agree
116,great . nice talking to you ,thanks
117,<end>,<end>
118,i really need this bike for the summer down at the beach . are you willing to negotiate ? ,inquire
119,"of course , i am asking for $285 since it's like new but i'm willing to do $260 .",init-price
120,could we go lower ? we are super tight on money but my daughter really needs a bike ,disagree
121,well how much are you thinking ? ,inquire
122,could we do $150 ?,counter-price
123,"that's almost half of my original offer , sorry but that's too low for the value of my bike . ",disagree
124,yeah but it's a super old model i believe . i can do $180 and come pick it up any time today,counter-price
125,"it's really not that old , and i've always ept it stored properly so it's not worn down . ",supplemental
126,lowest i can do is $215 and i'll ship it or drop it off to you for free . ,counter-price
127,<end>,<end>
128,hello ,intro
129,"hello ! i'm very interested in the table you have , it's beautiful . however there is still a little work i would need to do to get the table to where i want it to be . . . would you take $60 ?",init-price
130,i think 60 is a bit low . perhaps you would like to come by and see this table first to see if you like it .,disagree
131,i would love to come look at it . . . . how about i come by today with $70 and pick it up .,counter-price
132,how about we do 80 and i bring it you you myself ?,counter-price
133,i would like to see it before you go through all the trouble to bring it to me . what about 75 ?,counter-price
134,"okay , that works for me . 75 it will be .",agree
135,perfect thank you ,thanks
136,no problem ,unknown
137,<end>,<end>
138,"hi , i am interested in your tv . ",intro
139,is it in good shape ? ,inquire
140,"yes , it is brand new . it hasn't been used and is still under manufacturer's warranty . ",inform
141,"great . does it come with the box , remote and manual ? ",inquire
142,yes ! i am only able to accept cash for this . ,inform
143,"great , i am definitely interested but i would like to offer you $1200",init-price
144,$1200 is not enough . ,disagree
145,how about we split the difference at $1300 and i will deliver it for you . ,counter-price
146,"i don't need delivery , could you do $1250 if i come get it right now ?",counter-price
147,i suppose that would work if you come now with cash . ,disagree
148,<end>,<end>
149,hi ! i'm very interested in your phones ! ,intro
150,"cool . six phones for one and 50 bock's , can't beat it !",supplemental
151,it does sound like a great deal ! i was hoping you would maybe give them to me for $45 since that's all i have on me right now . i can come to you !,init-price
152,do you have a t-mobile phone to trade ? ,inquire
153,i do ! ,inform
154,i do believe we have a deal . ,agree
155,i'm at 1111 ellen street in tracy . ,inquire
156,i will be there in an hour with a phone and 45 dollars,unknown
157,<end>,<end>
158,hi there ! ,intro
159,are you interested in the laptop stand ? ,inquire
160,"i am , but i need more information . how long have you had the stand ? what shape is it in ? ",inquire
161,it is in excellent condition . i actually got two of them so this one was never used . ,inform
162,what did you pay for it originally ? ,inquire
163,$75.00 ,init-price
164,i like the stand and would be interested in it but only have $20 cash . can i pick it up today with $20 cash please ?,counter-price
165,i would not be able to let it go that cheap considering what i paid for it originally and it was never used . ,disagree
166,this stand is solid and will last for many many years so you would get a lot of use out of it . ,supplemental
167,"if i can get $10 more , how would $30 cash be ?",counter-price
168,i will be willing to do that . you will have to pick it up though . ,agree
169,i can do that . ,unknown
170,<end>,<end>
171,this is a great mattress for a kids room or spare room . ,unknown
172,hello i am interested in purchasing your mattress for my son . we just moved into town and we need a mattress as soon as possible . i can offer $60 and i will pick it up right now .,init-price
173,i can do that if you can bring me a can of coke with you . we are in the process of moving ourselves and i am dying of thirst . ,agree
174,hahaha you have a deal ! thank you so much ! ,thanks
175,<end>,<end>
176,"hi , thank you for your interest in my iphone 6 cases .",intro
177,yes . they look great . can i get them for $4 ?,init-price
178,"that would be awesome . i appologize i accidently said cases , as long as you are fine with boxes only you can get them for $4 .",agree
179,yes . that would be just fine . ,agree
180,thank you for your interest ! have a good day ! ,thanks
181,<end>,<end>
182,hello ,intro
183,hello ! welcome to our property ! ,intro
184,do you have any questions ? ,inquire
185,"yes , first i think that the list price seems a bit high , i have been pricing condos and townhouses in the area and they all seem to fall around $900-$1200 .",init-price
186,<end>,<end>
187,hello i am interested n the iphone ,intro
188,it is in perfect condition ! local pick up and i accept cash only . ,supplemental
189,no cracks on the screen ? ,inquire
190,"no cracks and no dings . it is completely flawless , almost as if you just took it out of the box . ",inform
191,how about the battery life ? how much does it last when fully charged ? ,inquire
192,the battery life is excellent . it will hold a charge from the time i get up in the morning around 6:30 and still be around 30% when i go to bed at 10 that evening .,inform
193,<end>,<end>
194,hello ,intro
195,"hello , i'm trying to sell my bike for $60 .",init-price
196,it looks nice . is it in good condition ? ,inquire
197,"the frame is perfect , but other parts would need to be replaced , like the tires and the front . honestly , this bike is ideal for either decoration or to be broken down with . ",inform
198,can i get you to cut the price in half ? i would like to pay 30 dollars for it .,counter-price
199,"half would be a little too low for me , but i could do $35 .",counter-price
200,35 and how about i pick it up myself ? i can come by tomorrow around 1 pm,agree
201,yeah that sounds good ! ,agree
202,great ,thanks
203,<end>,<end>
204,hi how are you ? ,intro
205,"hello , i see you are interested in my mobile flash upgrades . ",intro
206,"i am charging $50 for the service , are you interested ? ",init-price
207,i am very interested but im a little short on cash . if i came over right now would you bve willing to accept 35 ?,counter-price
208,"that would be a charity ! but if you came over right now , i would flash your phone for $40 . ",counter-price
209,that will work thank you for working with me ! ,agree
210,<end>,<end>
211,i see you're interested in my bike . have any questions ? ,inquire
212,hi . yes i am interested in the bike . ,intro
213,"just so you know , it's an adult build , so best for someone over 5'6"" . did you have any questions ?",supplemental
214,how old is the bike ? ,inquire
215,it's pretty new . i got it as a christmas present last year . ,inform
216,in the photo the handle grips look worn through . . . . what overall condition is the bike in ? ,inquire
217,"good condition . i've used it as a commuter bike for the last 6 months or so , so it's got some wear , but it still works great . even has new bb bearings .",inform
218,"ok . i'm not sure i can do $200 for a used bike , would you consider negotiating on the price ?",init-price
219,"sure , as long as we're not talking too low . what price were you thinking ? ",inquire
220,i was thinking $100 if there are no extra bells or whistles .,counter-price
221,<end>,<end>
222,"hi , i'm interested in buying the matte black iphone 6 but i have some questions .",intro
223,excellent . go ahead . ,unknown
224,"first , are there any scratches , dings , or other imperfections ? ",inquire
225,"the phone is practically like new . no scratches or dings , etc . ",inform
226,"great . do you know the retail price by chance ? how long have you had it ? what makes it ""custom ? "" ",inquire
227,i do not know the retail price offhand . ,inform
228,that's okay . i can look it up . ,unknown
229,i think i have had it like six months maybe . ,supplemental
230,"ah , not long . why are you getting rid of it ? ",inquire
231,iphone 7 is out . i want that one before the new one comes out !,inform
232,haha i understand ! it's for my husband . he broke his phone and doesn't want to spend a ton on a new one . would you accept $125 ? i found a gold one for $120 earlier but it was too far .,init-price
233,ouch ! no . i'm sorry . i can only go as low as $300 . 00 . it has 64 gigabytes !,counter-price
234,that might be a bit out of our price range . ,disagree
235,does it come with a charger ? ,inquire
236,"yes , it comes with a charger , and as indicated , it has a custom paint job ! it is totally worth it . ",inform
237,<end>,<end>
238,hi are they brand new with no chips ,inquire
239,"they are in excellent conditions , no chips . ",inform
240,do you knlow how old they are ,inquire
241,"i do not know the age , but they are in excellent shape . ",inform
242,are the lamp shade good also are they dirt ,inquire
243,the shades are nice and a crisp white . ,inform
244,are you interested in purchasing them ? ,inquire
245,yes ,inform
246,i can deliver them or can be availabe all day . ,supplemental
247,would you take 60,init-price
248,if you're going to pick them up i will take $60 .,agree
249,deal ,agree
250,deal ,agree
251,<end>,<end>
252,"hi , thank you for your interest in my iphone 7 !",intro
253,hello i am very interested in your phone . ,intro
254,i had an iphone and it fell into a hole when i traveled last month . after spending so much money on a phone and to lose it like that . will you be willing to bend on your price a bit for me please . i can afford to pay $275,init-price
255,im sorry to hear your last one had such a tragic accident . this is brand new and i am not sure i could take it down that low . i would like to get at least $400 out of it . ,counter-price
256,can you do $380 that's all the cash i have but i will pick it up right now .,counter-price
257,"if you can be here today , i will accept $380 . 00",agree
258,"oh thank you , thank you , thank you ! ! ! ",thanks
259,you are welcome . ,unknown
260,<end>,<end>
261,hi . need a bike ? ,inquire
262,"yes i do but only have 90 dollars to spare , can you help me out ?",init-price
263,"if you can swing by today , i'll give it to you for 95 bucks .",counter-price
264,okay that sounds good ,agree
265,okay . it's a deal . ,thanks
266,<end>,<end>
267,hello . ,intro
268,good evening . i have an amazing townhome for rent . ,intro
269,were you able to see the picture and read all the amenities ? ,inquire
270,"yes , i could see and read everything . i'm very interested in your townhome but it's a little too much money for me . my ideal price range is around $1100 .",init-price
271,"the other townhomes in our complex go for $2500 , so $2200 is a great deal . i would be willing to go down to $1800 if you sign a 9-month or year-long lease .",counter-price
272,i would be willing to sign a year-long lease for $1800 as long as the deposit and down payments are not too expensive . if they total up to $2200 i would not be able to .,disagree
273,"i can waive the application fee for you . we normally require first and last month rent . if that doesn't work for you , why don't we do $1900 a month ?",counter-price
274,if the application fee is waived i'm good with $1900 as i really like the amenities provided .,agree
275,<end>,<end>
276,"hello i am interested in this table , is it in good condition ? ",inquire
277,"yes , it is a good quality table . it's been sanded down so you could paint it if you want ",inform
278,ok i see . do you accept only cash ? ,inquire
279,cash or a check would work ,inform
280,"nice , is there any chance you can make me a better price , around 60$ , and i can pick it up by myself",init-price
281,if you can pick it up i'd be willing to lower the price a bit to 75 .,counter-price
282,are you sure the leafs seams can be tigher ? i will agree on 75 if yes,agree
283,"yes , they close tighter if you have someone on the other end to help you push it closed . ",unknown
284,<end>,<end>
285,hello ,intro
286,hi i'm interested in the truck . ,intro
287,how many miles are on it ? ,inquire
288,about 10000 . it is pretty new and it is in great condition .,inform
289,"10 , 000 on a 2006 ? that's really low mileage . were you the only owner ? did you buy the truck new ?",inquire
290,i bought the truck new and i am the owner . it is legit . ,inform
291,ok well it looks like a great truck and really need something like this . however the price is a little over what i want to spend . . . . is there anyway you would take $9000 ?,init-price
292,"9000 is a bit low . but , i am willing to go down to 10000 if you can afford that .",counter-price
293,"if the truck is still under manufacture warranty ? i'm mainly just concerned about the year , it's a 10 year old truck .",supplemental
294,it is actually . no need to be concerned . ,supplemental
295,"okay . $10 , 000 would work for me . thank you .",agree
296,sounds good . ,thanks
297,<end>,<end>
298,hi ,intro
299,hi there ,intro
300,what can we work out on your bike ? ,inquire
301,i would like 140 . can you do that ?,init-price
302,"i can't do that could you come down to 125 , pretty please ?",counter-price
303,well that is not too far off . can you come and pick it up this evening ? cash only please . ,agree
304,yes i will be able to give you all in cash ! ,agree
305,lets do it ,agree
306,okay ! ,thanks
307,<end>,<end>
308,how many bed rooms ,inquire
309,3 bedrooms,inform
310,where is it located ,inquire
311,newhall park and turtle creek rd ,inform
312,how many baths ,inquire
313,2 . 5 . . the master has its own bath . . . the main restroom has his/her sinks,inform
314,would you take 2200,init-price
315,2800 . 00 is an extremely fair price for both the house and the area . i think 2200 . 00 is not comparable to the comfort this house will provide your family,counter-price
316,right now all i can do 2300 with 500 depost,counter-price
317,i understand . thank you for hour interest . ,agree
318,ok 2500,agree
319,the best i can do is 2700 . 00 and an equal deposit .,counter-price
320,ok 2700,agree
321,"with a 2700 . 00 deposit , correct ?",inquire
322,yes ,agree
323,perfect . i'll send you the lease agreement . ,agree
324,thank you ,thanks
325,<end>,<end>
326,hey there ! ,intro
327,hello ! ,intro
328,are you interested in purchasing the bed i have for sale ? ,inquire
329,yes i am ! is it new and in great condition ? the wood is unscratched and undamaged ? ,inquire
330,"it's not new , but definitely in good condition . ",inform
331,awesome ! could you settle on $125 since i have to come and pick it up ? i'll have to borrow my friends pickup truck for it .,init-price
332,"well , i paid a lot of money for it . i would settle for $130 .",counter-price
333,"okay fine if you must have $5 extra dollars , so be it . deal .",agree
334,<end>,<end>
335,"hello , do you still have your 3 piece leather sofa set ?",inquire
336,"hi , yes i certainly have ! it's at 1000 but i can do at 950 for a quick deal",init-price
337,they look amazing and would be perfect for my new apartment . but right now i can only do $900 .,counter-price
338,well it's virtually brand new ! still has tags on ! let me think for a sec . . ,supplemental
339,if you will go as low as $900 than i would be willing to come out and pick them up from your residence .,counter-price
340,"ok , exactly what i was thinking about in my mind . . ",agree
341,"i will text you the address in a few minutes , please give me a call half an hour before you plan to be here ",unknown
342,awesome ! ,thanks
343,<end>,<end>
344,hello how are you ,intro
345,good how are you ? ,intro
346,good thanks do you still have the sofa for sale ? ,inquire
347,i do are you interested ? ,inquire
348,yes please are you willing to budge on the price any ? ? ? ,inquire
349,there is some room to wiggle ,inform
350,would you take 340 ?,init-price
351,i can go down to 400,counter-price
352,slightly out of my budget can we meet at 360 ?,counter-price
353,can you pick it up ? ,inquire
354,if so i can do 375 ,counter-price
355,done ,supplemental
356,so 375 then,agree
357,<end>,<end>
358,"hi , i am interested in your phone . but , i will admit the price is pretty high . ",intro
359,it is a functional phone . ,supplemental
360,"i realize it is an older model , but i can lower the price to $85 ",init-price
361,can you throw in the charger and case ? ,inquire
362,i can do 85 if you can ! ,counter-price
363,"yeah , i'd be willing to include them in the deal for you . ",agree
364,perfect ! ,thanks
365,<end>,<end>
366,hello we are relocating and everything must go . every penny we can get is necessary . ,intro
367,we are offering this tent for $12 ,init-price
368,hi ! it looks like it would be awesome for my upcoming trip . ,intro
369,"would you be willing to take $9 for it , i could come and pick it up today . ",counter-price
370,"you know what , you have a deal ! ",agree
371,"thank you , it will sure be handy ! ",thanks
372,<end>,<end>
373,hello ! ,intro
374,hello ! ,intro
375,can i interest you in an amazing place ? ,inquire
376,"yes , i'm very interested in the spectacular executive home w/ chef's kitchen and pool , trestle glen ",inform
377,yes ! its an amazing place and dogs and cats are allowed . ,inform
378,<end>,<end>
379,"hello , i am wanting to sell my apartment for $2635 .",init-price
380,i see a picture of the pool . it looks nice . ,agree
381,how big is it ? ,inquire
382,i'm not exactly sure of the demensions but i know it's quite large . i can always ask our office for exact measurements . ,inform
383,the ad mentions about a dog . am i allowed to have a large dog - st . bernard ? ,inquire
384,"yes , all breeds are allowed . ",inform
385,"actually , i have 2 dogs , a cat , a fish and a boa constrictor . i would use the 2nd bedroom to house them .",inform
386,as long as you pay the pet fees for the dogs and cat i don't see that as a problem . are you okay with my proposed price ? ,inquire
387,"well , it seems kind of high . i am just 22 and starting my career . i may need to put my pets up for adoption .",disagree
388,"well due to the high demand of the apartment as well as all of the utilities and amentities provided , i can't go any lower than $2000 .",counter-price
389,"are there many single , available attractive women renting there ? ",inquire
390,<end>,<end>
391,"hi , i'm interested in your property but have a few questions . ",intro
392,hi there . the property is still available . what are your questions ? ,intro
393,how many bedrooms and bathrooms are in the unit ? how much is the parking ? are pets allowed ? ,inquire
394,"it's a one bedroom , pets are fine . the parking is 40/month .",inform
395,is there a way we can negotiate a lower rent ? there's not a lot of information on your site . ,inquire
396,"i'm willing to come down a small amount , but i feel the 1500$ range is about average for this area .",init-price
397,<end>,<end>
398,hello ,intro
399,hey there ! i'd love to buy this ikea malm 3-drawer chest ! ,intro
400,i really need a new chest ! ,inquire
401,it is in excellent condition and has smooth running drawers . it is a great buy . i highly recommend it . ,inform
402,awesome ! i can come and pick it up from your place in my truck . could you meet me at $40 for it ?,init-price
403,"since you are coming to pick it up , how about 35 dollars ? if you want me to bring it to you , then we can do 40 .",counter-price
404,"oh wow , how generous . thanks a lot , ill definitely take you up on that offer . $35 is a deal my friend !",agree
405,thank you . have a good one and take care . ,thanks
406,<end>,<end>
407,hello ,intro
408,this looks amazing . ,intro
409,how is the surrounding area ? ,inquire
410,"great area , lots of great restaurants and other attractions nearby . ",inform
411,the pool in the picture is included ? ,inquire
412,"yes , pool access is included in the list price . ",inform
413,the lease price is a little high . would you consider $4000 ?,init-price
414,sure we could negotiate the price . but we wouldn't be able to allow pets in that case . ,supplemental
415,that's fine . i have no pets . ,unknown
416,"great , when would you like to come see the place ? ",inquire
417,tonight if that is ok . ,inform
418,sure that would be fine . do you have references ? ,inquire
419,"yes , i will bring along my paperwork . ",inform
420,"great . if we reduce the price to $4000 you would need to do the pool maintenance yourself , would that be a problem ?",inquire
421,"no , i could work with that no problem . ",agree
422,ok great . ,thanks
423,<end>,<end>
424,hi ,intro
425,"hi , are you interested in this home ? ",intro
426,maybe ,inform
427,what is your budget ? ,inquire
428,"i'm very poor , i only have 1000 to work with :(",init-price
429,"i can't make it that low but i can waive your security deposit , as long as you have good credit . on top of that if you sign an 18 month lease with me i can get it down to 1500 !",counter-price
430,can you drop it any lower if i can do anything extra for you ? ,inquire
431,"i have to follow guidelines since i am just part of the leasing team , i'm sorry ! but , my husband does work with the local cable company and there is a package going on right now where i could get you 12 months of cable and internet for $10/month !",inform
432,"whoa that sounds delicious . okay i can do it , send me the deal ! ",agree
433,<end>,<end>
434,"hello , i am interested in the mattress . ",intro
435,is it still available ? ,inquire
436,it sure is . $120 and it is all yours,init-price
437,i was hoping that if i come pick it up today i could get it for 100,counter-price
438,ill tell you what how about we meet in the middle and you can have it for 110,counter-price
439,can we do 108 ?,counter-price
440,sure ,agree
441,<end>,<end>
442,"hello , i see you are interested in my washing machine . ",intro
443,"wow , this looks like a great washing machine ! ",supplemental
444,thank you . ,thanks
445,it is heavy duty with a king size capacity . ,supplemental
446,i am asking $100 for it . ,init-price
447,"thats not too bad , but thats a little steep . isn't it used ? ",inquire
448,"it might be used , but it is in perfect working order . not even a scratch or ding on it . ",inform
449,"wow , that sounds great . i would love to go 65 for that .",counter-price
450,that seems a little low . i was selling it at an awesome bargain price as it was . ,disagree
451,i could do $85 but nothing less . ,counter-price
452,how about 70 if i come pick it up and pay cash .,counter-price
453,"i'm going against my own judgement , but i think i'll call it a deal . especially if your picking it up . ",agree
454,great ! i would love to pick it up ! ,thanks
455,<end>,<end>
456,hello ,intro
457,hey there ! ,intro
458,are you interested in my two vermont furniture designs cherry wood dressers ? ,inquire
459,"yes , what's the condition of the dressers ? any dings , scratches ? ",inquire
460,"some slight surface scratches on the top of the dresser , not too big of a deal . but if you want you could definitely oil and sand down the top to bring it back to new . its in great condition besides that ! works perfect , drawer open fine , etc . ",inform
461,"hmm , what are the dimensions ? ",inquire
462,it's about 2 feet by 4 . 5 feet . selling it for about $700 .,init-price
463,"dimensions are good but i think the price is a little bit high , will you accept 600$ for them if i pick them up myself ?",counter-price
464,that sounds very reasonable . i would have a hard time delivering them in my car anyways ! this helps a bunch ! $600 it is ! thanks a lot !,agree
465,<end>,<end>
466,hello ! ,intro
467,is it new are used ,inquire
468,"bed is used , but in very good condition ! ",inform
469,smoke free and pet free house ,inquire
470,"this is coming from a smoke free , pet free and child free home . no stains and less than a year old . ",inform
471,any chip dent ,inquire
472,no damage to the wood at all . super comfortable mattress . ,inform
473,would you take any less ,inquire
474,"i would be willing to drop it , but not much because it's still pretty new . ",inform
475,i could do $135 ,init-price
476,if i pick up to day would you do 120,counter-price
477,if you pick up today $120 would work .,agree
478,deal ,agree
479,<end>,<end>
480,hi i am interested in your bike is it still available ? ,intro
481,"yes , it is . i am asking 100 for it .",init-price
482,could you tell me what kind of shape it is in ? is there anything wrong with it ? ,inquire
483,"some normal wear and tear , but in good condition and ready to ride . ",inform
484,would you be able to take $75 for it today ?,counter-price
485,i was hoping to get a bit more out of it so that i can buy a new one . can we do 85 ?,counter-price
486,well if i do $85 can you possibly deliver ? it is a suprise for my husband and it would be great if i had it here when he gets home from work .,inquire
487,"sure , i would be happy to deliver it to you for 85 .",agree
488,thank you ,thanks
489,thank you . ,thanks
490,<end>,<end>
491,hello ,intro
492,hi ! ,intro
493,you're interested in the sofa set ? ,inquire
494,yes i am . is it in good condition ? ,inquire
495,it's brand new ! still has the tags and everything . turns out it did not match the decor at all ! ,inform
496,how much are you charging for it ? ,inquire
497,"listed it for $1000 , but willing to negotiate . what price were you thinking ?",init-price
498,i was hoping to pay around 500 dollars for it .,counter-price
499,"that's a pretty steep markdown . we're looking at a 3 piece sofa set , new , leather . that's definitely worth more than $500 .",vague-price
500,how about 700 and i will pick it up myself ?,counter-price
501,that would work perfectly ! sounds like a deal . ,agree
502,thank you . take care . ,thanks
503,<end>,<end>
504,hi how are you toady ? ,intro
505,"good , are you interested in the phone gor $120 ?",init-price
506,"yes please , however i was wondering if you had any wiggle room on the price ? ",inquire
507,"yes , i am flexible , but i can't go too low . it is unlocked so that is a perk . ",vague-price
508,"hey man i hate to low ball you , knowing that it is unlocked but would you consider 60 . 00 cash ?",counter-price
509,<end>,<end>
510,"hello , is there a box that all the parts come in ? ",intro
511,the original box is not included i'm afraid . it's only 15 bucks though .,inform
512,well my problem is that i only have $13 that i can use towards this . can i give you $13 and come pick it up from you whenever you're available ?,init-price
513,if you could scrape 14 together you have a deal .,agree
514,"deal , i'm sure i can get another dollar . ",agree
515,great . it's a deal . ,thanks
516,<end>,<end>
517,"hello , this is my faithful and trusted dodge ram for the low price of $13000 . i am relocating to another country so i am selling everything and i need every penny i can get .",init-price
518,how many miles does it have ? ,inquire
519,"the mileage is 100 , 000",inform
520,does it need any repairs ? ,inquire
521,no it does not . i just had work done on it and everything runs smoothly . i am and have been the sole owner of the truck . i have had no accidents and it is very sturdy and reliable . if i was not relocating to another country i would not sell it . ,inform
522,are you smoker ? i'm allergic to cigarette smoke . ,inquire
523,"you don't have to worry , i have never smoked a day in my life . the interior is perfect . ",inform
524,great . would you accept $7000 for it ?,counter-price
525,"that is really low . please remember that i am relocating , i have a ton of expenses . ",vague-price
526,this is a dodge and it is in tip top condition . ,counter-price
527,"$11 , 500 ?",counter-price
528,you have a deal ,agree
529,great . ,thanks
530,<end>,<end>
531,"hello , you still have the beats ? ",intro
532,yes . interested ? ,inquire
533,i am . are you willing to accept $122 for them ?,init-price
534,they're pretty high demand . i might go as low as 160 .,counter-price
535,how about $150 and i pick them up and pay in cash today ?,counter-price
536,if you can pay 155 you have a deal .,counter-price
537,you're pulling out of my gas money ! $153 and it's a deal . i need gas to get there .,counter-price
538,you drive a hard bargain . okay then 153 it is .,agree
539,awesome ! ,thanks
540,<end>,<end>
