,text,meta_text
200,great ! i see you want $20 . i can give you $18 and go get it as soon as you are available . ,init-price
201,i think i can lower the price to $18 if you would come pick it up asap ! are you available in about an hour ? ,counter-price
202,yes i am . i will see you then ! ,agree
203,<end>,<end>
204,hi . i am interested in this home . ,intro
205,hello ! i am so glad . it is a beautiful 6 bed/4 bath home . 6000 square feet . is that what you are looking for ? ,intro
206,yes i am . i would like to make you a offer . i can bring you $4050 right now . ,init-price
207,i am sorry but that is too little . this house has been remodeled as recently as 2016 and is in a family oriented neighborhood that is safe . we are only 10 minutes from the facebook hq . there is a lot of strong interest . ,vague-price
208,how about $4300 cash right now ? ,counter-price
209,"well it requires 2 months rent as is , if you can give me a 300 security deposit with half being non-refundable i can probably do 4300 a month . ",agree
210,i can do that and meet now . ,agree
211,sounds good . ,agree
212,<end>,<end>
213,"hi , any scratches on the glass ? ",inquire
214,"hello , no scratches on the glass ",inform
215,"i'm redoing my house with a vintage theme so these would work great but the price tag not so much . it looks more like a collectors price , are you willing to budge from 800 ? ",init-price
216,"i will negotiate for the right price , i do have to say you will not be disappointed ",vague-price
217,would you take 600 ? ,counter-price
218,"that's a bit too low for the tables , i can throw in a lamp i have that will fit in with your theme can you meet me at $700 ? ",counter-price
219,"yes , that will work ",agree
220,<end>,<end>
221,hi ,intro
222,"hi , i am interested in the dodge dakota . ",intro
223,how does it run ? does it have any problems ? ,inquire
224,the windshield wiper fluid doesn't squirt & the passenger mirror has a crack ,inform
225,well that's fixable . what is the lowest you can offer for it ? ,inquire
226,there are also problems with the clear coat on the hood and roof . it's coming off . other than that she runs like a beauty even the a/c is cold . ,inform
227,"okay , $3900 is a too much for me . since it is a 98' and has a few problems i will offer $2700 . ",init-price
228,maybe we can meet in the middle and go for $3200 ? ,counter-price
229,i can do that . i can go get it as soon as you are available . ,agree
230,ok . deal . ,agree
231,<end>,<end>
232,"hi , i am really interested in buying your soma doublecross . how long have you had it ? ",inquire
233,"hello , the bike is 3 years old . ",inform
234,is it black or charcoal ? ,inquire
235,it is black and has very little scratches on it . it's a great bike ! ,inform
236,that was my next question . thanks . i can offer you $560 and i can pick it up soon ,init-price
237,650 is the lowest i can go . it has a lot of after market parts and i can throw in the extra set of tires . ,counter-price
238,would you be able to drop it off ? ,inquire
239,"sure , i could do that for you . ",agree
240,deal ,agree
241,great ! ,thanks
242,<end>,<end>
243,hi . are you interested in my apartment ? ,intro
244,"hello , i am interested in the apartment but i think 1595 is too high especially since there is no laundry in the unit and it is only 1 bath . ",init-price
245,how about $1300 and i will also pay your first month's light bill . ,counter-price
246,"i don't use much electricity . i was thinking more like 1200 with the deposit being entirely refundable , assuming there is no damages . ",counter-price
247,i can accept that if you can pay today ? ,agree
248,yes ! ,agree
249,<end>,<end>
250,hi ! ,intro
251,"hi , i love vintage bikes ! is it still for sale and can you tell me what has been replaced on the bike ? ",inquire
252,"i love vintage bikes too ! yes , it is still for sale . the bike has a new set of wheels , new chain , and a new seat . it has also been rebuilt and relubricated . the rear wheel has a shimano coaster brake hub . it is an awesome bike ! ",inform
253,it sounds like it is . it's kind of hard to visualize without a picture so what is the least you will take for it ? ,inquire
254,i couldn't go lower than $100 because of all the work i've done on it and parts i've bought for it . ,init-price
255,understandable . $100 is a good price . i think i'll take it . ,agree
256,great ! ,agree
257,<end>,<end>
258,"hi , i am very interested in the one bedroom . is it in a nice neighborhood ? ",inquire
259,"yes , it's quiet and nice , outside of the city and near just about everything . it has off street parking and central air ",inform
260,"great , just what i am looking for . i see you are offering it at $1975 , is there any wiggle room in there ? that's a little steep for me . ",init-price
261,what were you hoping to pay ? ,inquire
262,i was thinking around $1200 or closer to that range . ,counter-price
263,i could go down to $1500 ,counter-price
264,how about $1400 ? ,counter-price
265,deal ,agree
266,<end>,<end>
267,"i am interested in the bike but 600 is too much as compared to the other models out there , like zurich ",init-price
268,"yes this is a custom model , higher end ",supplemental
269,i know the steel frame is custom but it isn't high end enough to justify that price . what features does it come with ? ,inquire
270,"this isn't a street bike , it's for racing . ",inform
271,are you buying it for yourself ? how tall are you ? ,inquire
272,"i am 72 inches . i understand what kind of bike it is , that kind of riding is popular where i am from . ",inform
273,right and i know it's used so i can come down to 500 ,counter-price
274,that is still too much for me . if it doesn't have any other high quality features other than the custom frame $300 is more what i am looking at . ,counter-price
275,i'll meet you in the middle at 400 only because i know i'm not going to racing anymore ,counter-price
276,"okay , i am good with that . ",agree
277,<end>,<end>
278,hi ! are you interested in my bike ? ,intro
279,hello . yes i am ! can you tell me the condition ? ,inquire
280,it's in wonderful condition ! it's been customized to be one of the most badassness bikes you will ever ride ! ! everyone will be looking and wishing they had it when you ride it ! ,inform
281,thats ,unknown
282,i'm asking $340 for it . ,init-price
283,"sorry about that . technical difficulties ! the bike is just what i'm looking for , but would you take $225 ? ",counter-price
284,i could do $300 cash . ,counter-price
285,"ok , i can swing that . i don't want to pass up the badassness ! ",agree
286,ok you got a deal ! ,agree
287,<end>,<end>
288,"hi , is the apartment downtown still available ? ",inquire
289,"yes , it is . it's a beautiful apartment and has had a lot of renovations ! ",inform
290,i can see that from the pictures . my concern would be the noise level . i usually work from home and feel the noise especially at night would be a distraction . ,unknown
291,"i haven't had any complaints about noise from the current tenants . if you have problems with noise , call me , and i will take care of the problem . i want my tenants to be comfortable and happy ! ",unknown
292,i was speaking on outside of the apartment being that it's downtown . $1700 is a bit steep for me . would you be willing to accept $1190 considering ? ,init-price
293,"oh , i see what you meant . i don't think there is that much going on at night in downtown walnut creek , but i could be wrong . i could come down a little , but $1190 is a bit low . how about $1400 , and i'll pay the utility bills ? ",counter-price
294,that's still a little out of my range but how does $1300 sound ? ,counter-price
295,"if you sign a two year lease , i'll do $1300 . ",agree
296,hmm . . . i will be in the area for at least a few years so i can sign a 2 yr lease with paid utilities . ,agree
297,"okay , it's a deal . ",agree
298,great ! ,thanks
299,<end>,<end>
300,i'm really interested in renting your two bedroom home . what year was it built ? is the back yard big ? ,inquire
301,it was built in 2005 . it has a wonderful landscaped backyard that is quite big . ,inform
302,"this sounds perfect , and it's just what i've been looking for . can i rent it for $4320 ",init-price
303,i can do $4320 and just to let you know there is a 1 year lease . ,agree
304,i would be more than happy to lease for a year . ,agree
305,<end>,<end>
306,"hello , are you interested in this house ? ",intro
307,hi ! yes i am ! does the house have a pool ? are pets allowed ? ,inquire
308,the house itself does not have a pool but there is a clubhouse and pool in the neighborhood run by the hoa ,inform
309,does the hoa charge any fees ? any fees for pool access ? how old is the house ? ,inquire
310,the house was built in 2006 and the hoa fees are included in the rent ,inform
311,ok sounds great ! if you have pics of the inside could you email them to me ? i'm very interested . are pets allowed ? ,inquire
312,one small one with a deposit . i would be glad to send you some more pictures ,inform
313,ok great i would like to get a toy dog ! would you be able to do $1505 ? ,init-price
314,considering that you will be paying utilities and landscaping i'm willing to drop the price to 1900 ,counter-price
315,$1850 and you have a deal ? ? ? ! ! ,counter-price
316,alright ,agree
317,ok great deal ! ,agree
318,<end>,<end>
319,"hello , are you interested in the chairs ? ",intro
320,i am very interested in the chairs . are they torn at all ? ,inquire
321,no they can pass for brand new im looking for around 75 dollars a chair ,init-price
322,"oh , i was thinking the price was 65 for both chairs . ",counter-price
323,i will do the two for one price only if you can come pick them up . ,agree
324,that's fine with me . i would love to come pick them up ! ,agree
325,<end>,<end>
326,hello . i am interested in your car you have for sale . ,intro
327,thank you . it's still available . ,intro
328,how is the interior ? good condition ? ,inquire
329,the interior is in very good condition ,inform
330,ok good . i'm not a fan of cloth . would you accept $2950 ? the miles are quite high . ,init-price
331,that's a little low . these cars go forever . lot's of mileage still left on the vehicle . ,vague-price
332,i hope so . i know these cars do tend to run for a while . i can do $3450 ,counter-price
333,ok . $3450 sounds good . ,agree
334,great ! thanks ,thanks
335,you're welcome . ,thanks
336,<end>,<end>
337,hello ,intro
338,hi ! are you interested in my trek road bike ? ,intro
339,i am . is it in good condition ? i really need a new bike . ,inquire
340,yes it is ! it's a great bike i just don't have time to ride it much ! i'm asking $225 for it . ,init-price
341,225 might be a bit too much for me at this time . is there any way to get it lower ? i was hoping to pay around 112 for it . ,counter-price
342,i could do $180 for it and i'll deliver it this evening ! ,counter-price
343,that could work . thanks a lot for doing business with me . i hope you have a good day and see you when you get here . ,agree
344,ok great ! ,thanks
345,<end>,<end>
346,hey ! what kind of car is this ? i don't see it in the description . ,inquire
347,"yes , i must have forgotten that . it's a ford focus . ",inform
348,"awesome , i love fords . it's a little out of my price range , though . would you be willing to do a partial trade for some cash off ? i have a yamaha dirt bike worth 1500 dollars . i would trade that and 1700 cash . ",init-price
349,i need to get at least 2800 ,counter-price
350,<end>,<end>
351,"hi how are you doing i'm interested in your chest , can you tell me what size is it ? ",inquire
352,31 w x 15 d x 29 h ,inform
353,oh lovely ! are there any marking on the chest ? ,inquire
354,the dresser is flawless and the hand painted floral design on the front has no chipping which is common with this model . ,inform
355,"oh that sounds nice , i like flowers ! and it's hand painted you say ! i feel like i just have to have it , will you sell it to me for 179 ? ",init-price
356,i'll do $179 if you pick it up but i can have it next day delivered for as low as $185 ,counter-price
357,"oh that sounds like it would be right up my alley there . yes , i would like to do it for that , thank you for the offer ! ",agree
358,<end>,<end>
359,hello ,intro
360,i'm interested in the dining room chairs you have for sale . ,intro
361,cool . do you want to come by and take a look at them ? they are in great condition but i do not have room for them anymore . ,intro
362,i would love to see them . is the fabric in good condition ? ,inquire
363,"yes they are . this is a cash only sake as well , just to let you know . ",inform
364,cash is no problem . i like the chairs but they're kind of plain . will you take $75 for them ? ,init-price
365,75 is a bit low . can i get you to do 100 dollars ? ,counter-price
366,ok . $100 sounds good . ,agree
367,great ,thanks
368,<end>,<end>
369,hi i'm interested in your blazer . does it run loud ? ,inquire
370,no . it's a pretty quiet truck . ,inform
371,awesome . i love the older style body . it's pretty out of my price range though . would you accept a partial trade ? ,inquire
372,i might be able to do a trade if you have something i need . ,inform
373,i could trade you in my 2002 cavalier with 100k on it and 1750 cash . ,init-price
374,what is the value of the cav ? ,inquire
375,the cavalier is probably worth around 1800 right now . it's in great condition . new brakes too . ,inform
376,if you could do 2000 plus the cav . i really don't need another car . ,counter-price
377,that would be fine with me ! deal ! ,agree
378,<end>,<end>
379,hello ,intro
380,"hello , are you interested in my camry ? ",intro
381,yes i am . i have a question . is it in good shape ? ,inquire
382,"it's in excellent shape , only drove around town from time to time . it only has 42000 miles on it ",inform
383,"i don't know if it is worth the price you are selling it for . it is a 2005 , so could i possibly get it for about 1000 dollars cheaper ? ",init-price
384,"toyotas are built to last and with only 42 thousand miles on it , there is virtually no wear and tear , i'll drop to 8000 but that's a really good deal for this car ",counter-price
385,8000 is a pretty good deal . can i come by today and look at it ? ,agree
386,<end>,<end>
387,"hi , i am very interested . what color or the cases ? ",inquire
388,the lg v10 is flawless and running the latest android n ,inform
389,that's fantastic . what colors are the cases ? ,inquire
390,i have a black leather folio case and a premium grey otter box ,inform
391,perfect . i see that you want $200 . i can offer you $140 and pick it up asap . ,init-price
392,i would but the accessories alone cost too much it would be like selling the phone for $60 ,counter-price
393,what is the lowest you can go ? ,inquire
394,i can do $150 no accessories ,counter-price
395,you've got a deal . ,agree
396,<end>,<end>
397,"hi , hope you're doing well this evening ? ",intro
398,"hello , ",intro
399,are you looking for an apartment ? ,inquire
400,yes i'm looking for a really nice apartment near the west oakland bart station ,inform
401,"oh , well it seems that i have exactly what you want . the apartments come in both 2 or 3 bedrooms , which do you desire ? ",inquire
402,i prefer 3 but my budget is 2000 ,init-price
403,"i see would you be able to go over your budget a touch , to 2200 if i could let you have the first month of free rent ? ",counter-price
404,can you lower it to 2000 if i sign a contract stating i'll stay for at least 1 year ,insist
405,"i will run it through the system and see if that will work out , let me send you the offer . thank you ! ",thanks
406,<end>,<end>
407,"hi , i am interested in the bike . how are the brakes and tires ? ",inquire
408,"hello , the tires and brakes are brand new . the bike has been well serviced and maintained . ",inform
409,wonderful . would you be willing to take $87 for it ? ,init-price
410,with all that i have put into it i really can't take less than 100 . plus it's a classic ! ,counter-price
411,"i can do $100 , is that a deal ? ",agree
412,that is a deal ! ,agree
413,<end>,<end>
414,"well hello there , how are you doing ? ",inquire
415,"im doing great , just bought a new jeep and my wife wants me to part ways with my baby . ",inform
416,"oh that sucks , well you can look at it this way . now you may be able to pass it on to me and i will love it as you did . can you tell me about your favorites ? ",inquire
417,i love the smooth transmission in this car the tip-tronic works well and even though the motor is on the small side the car produces great power on the low end and it only has 80 k ,inform
418,"nice that sounds great , i see that you're asking 4900 which is a little high for me and i was actually hoping to find a good car for like 2250 . i see that this is way off , but maybe we can work something out ? ",init-price
419,"for a mercedes with this low amount of miles and no issues you would be out of luck , the lowest id go for anyone is 4000 and that is my highest offer . mind you this car was garage kept . i guarantee you wont run into issues for at least a solid 30k ",counter-price
420,oh i see and understand . well i appreciate you dropping 900 off of it for me and i can accept that . maybe i can take you out for drinks sometime too ! ,thanks
421,"i'll throw in some free maintenance also , you seem like a cool guy and i want to make sure she stays fit . ",thanks
422,thank you ! ,thanks
423,<end>,<end>
424,"hi , i am interested in the bike . how are the brakes and tires ? ",inquire
425,brakes and tires are perfect ! this bike is sweet ! it rides and looks great ! ,inform
426,great . my bike has went to bike heaven and i really need a new one . are you willing to go down on the price a little ? ,vague-price
427,"i can come down a little on the price , make me an offer i can't refuse ! ",vague-price
428,"i can offer $310 , deal or no deal ? ",init-price
429,i can do that if you can pick it up ,agree
430,you got it ! ,agree
431,deal ,agree
432,<end>,<end>
433,"hi , i am interested in your property . ",intro
434,are you over 18 and can you pass a credit and background check ? ,inquire
435,"yes , what are some of the best features of your property ? ",inquire
436,"the landscaping , community swimming pool , clubhouse and playground are included , also just a short walk to park and shops . ",inform
437,"that sounds good , could you go a little lower on price though ? ",vague-price
438,"if you can pass all the credit and background checks and agree to the terms of the lease , i can go down to $2800; ",init-price
439,"that's still way too high for me , could you go down to $1800 ? ",counter-price
440,not for this beautiful piece of property with all the ammenities that it has . ,disagree
441,what do you suggest ? ,inquire
442,the lowest price i can take for this property is $2800 . ,counter-price
443,i can't go that high . ,disagree
444,i guess you should looke for homes that are in your price range . ,unknown
445,i'm sorry this didn't work out ,unknown
446,<end>,<end>
447,hello ,intro
448,"hello , what kind of phone does it come with ? ",inquire
449,it comes with a samsung phone . ,inform
450,"yes , they make a few . what kind ? ",inquire
451,i am not sure . i only see what the ad has . ,inform
452,"ok , we're supposed to be acting as if we're the buyer and seller so at this point you could look up or make up a phone ",inquire
453,galaxy s 3 ,inform
454,"okay , your price is a bit high for an older model phone . would you be willing to take 200 ? ",init-price
455,200 is a bit too low . would you be able to go up to 225 at least ? ,counter-price
456,"does the phone come with any accessories (charger , case , etc . ) ? ",inquire
457,yes it does . it comes with a sim card and i will throw in the case and the charger at no additional cost . ,inform
458,"okay then , 225 sounds good ",agree
459,<end>,<end>
460,hi ,intro
461,i am interested in the apartment . it looks amazing . how many bedrooms are there ? ,inquire
462,"oh yes it is amazing , you're going to love it ! there are 2 official bedrooms but there are other rooms in the apartment to that you could turn into bedrooms . ",inform
463,just what i'm looking for . i'm on a budget and $2083 is a little out of my price point . how much lower can you go with the price ? ,init-price
464,i can lower the price to about 1600 ? ,counter-price
465,$1600 is perfect . thank you . ,agree
466,"alright , let's do it ! ",agree
467,<end>,<end>
468,hi i'm interested in your mini cooper . does it drive nicely ? ,inquire
469,it does ! it's a fun car to drive . ,inform
470,awesome . i love the look . i have to admit it's way out of my price range . can i trade you my vehicle for some cash off ? ,inquire
471,what type of vehicle do you have ? ,inquire
472,i have a 2013 dodge charger . i could do that and like 3750 cash . it's got 50k on it . ,init-price
473,i really want to get a nissan leaf so i don't think that will work . i could come down to 7000 if you have cash . ,counter-price
474,yeah my low end is 3750 . what about 5500 now and 1500 when i sell the charger ? ,counter-price
475,ok we will draw up the contract at my bank and it will be a deal . ,agree
476,awesome ! ! thanks . ,thanks
477,<end>,<end>
478,"hello , is this futon still available ? ",inquire
479,yes it is . it is in great shape . i am only asking $40 and will even deliver it for you . ,init-price
480,i would really appreciate delivery but it's still a little pricey . i have $30 i can give you today . ,counter-price
481,"well how about this , if you would like it for $30 you can pick it up yourself or for $35 i will deliver it . your choice ",counter-price
482,i really need the delivery so i'll take it for $35 . ,counter-price
483,sounds good . ,agree
484,<end>,<end>
485,"hello , has this bike been in a crash ? dented at all ? what's the condition . it's hard to know if i should pay 40 without seeing it ",inquire
486,i may accept that offer but we have to negotiate first ,inform
487,this bike has been well taken care of ,supplemental
488,"okay , it's a 20 inch , i was thinking of getting it for my nephew , do you think it would be good for a 10 year old ? ",inquire
489,i think that your child would fit well with this bike yes ,inform
490,<end>,<end>
491,hi ,intro
492,"hi , are you interested in the router ? ",intro
493,yes i am is it working 100% like ? ,inquire
494,"yes it is . it is brand new , never opened . ",inform
495,"oh great , would you be willing to drop a tincy bit off of your price for me please ? ",vague-price
496,well it is a brand new item but i can lower it by a few dollars . ,vague-price
497,make me an offer ? ,inquire
498,yess ! ,inform
499,<end>,<end>
500,hi i'm looking for a nice car ? ,intro
